SCH_DEP_DATE,cargo_diff
2020-06-11,-1094364.4949999996
2020-06-12,784276.7030000002
2020-06-13,386252.83699999936
2020-06-14,-404171.0089999996
2020-06-15,-375018.73100000015
2020-06-16,-405357.32799999975
2020-06-17,723783.6319999998
2020-06-18,-197847.90799999982
2020-06-19,408847.01499999966
2020-06-20,64269.66100000031
2020-06-21,54481.73599999957
2020-06-22,-1039180.1419999995
2020-06-23,116055.37199999997
2020-06-24,772703.1299999999
2020-06-25,-375192.3250000002
2020-06-26,746044.5310000004
2020-06-27,-71246.35600000061
2020-06-28,-357638.9610000001
2020-06-29,-928161.7829999994
2020-06-30,143457.2089999998
2020-07-01,460417.9130000002
2020-07-02,183653.4969999995
2020-07-03,326601.92900000047
2020-07-04,-90332.51800000016
2020-07-05,-126632.41500000004
2020-07-06,-731854.693
2020-07-07,-66773.22999999998
2020-07-08,615179.0459999996
2020-07-09,417070.80700000003
2020-07-10,-321088.5689999992
2020-07-11,373321.2019999996
2020-07-12,-390711.1210000003
2020-07-13,-591529.0129999998
2020-07-14,-217663.17599999998
2020-07-15,1399318.6259999997
2020-07-16,-253994.0290000001
2020-07-17,17007.908999999985
2020-07-18,417752.324
2020-07-19,-260173.81999999937
2020-07-20,-1041269.0590000004
2020-07-21,-20465.67100000009
2020-07-22,1287322.699
2020-07-23,-210099.70600000024
2020-07-24,53721.47000000067
2020-07-25,-12611.662000000477
2020-07-26,124531.30599999987
2020-07-27,-1304849.1269999994
2020-07-28,-287377.6570000001
2020-07-29,860744.4099999997
2020-07-30,-84720.76999999955
2020-07-31,-29978.43500000052
2020-08-01,1145163.495
2020-08-02,-522366.27300000004
2020-08-03,-1220436.4619999998
2020-08-04,157273.09200000018
2020-08-05,1272098.7200000002
2020-08-06,-140097.48400000017
2020-08-07,-133980.45299999975
2020-08-08,758700.1239999998
2020-08-09,-718088.5410000002
2020-08-10,-936392.9219999998
2020-08-11,-75519.29800000042
2020-08-12,1701254.0160000003
