CNTRY_MCY_ID,CNTRY_OWNER_CARR_CODE,CNTRY_CNTRY_CODE,CNTRY_COMMNTY_CODE,CNTRY_RGN_ID,CNTRY_INACTIVE,CNTRY_DTL_ID,CNTRY_CREATED_DATE,CNTRY_CREATED_BY,CNTRY_MODIFIED_DATE,CNTRY_MODIFIED_BY,CNTRY_ISO_CNTRY_CODE,CNTRY_GST_APPL_IND,CNTRY_TAX_ID_LENGTH,CNTRY_CMRCL_RGN,CTY_CCY_ID,CTY_OWNR_CARR_CODE,CTY_CTY_CODE,CTY_CTY_NAME,CTY_MTY_ID,CTY_CITY_TYP,CTY_OFFLN_CTY_IND,CTY_REPORTING_CITY,CTY_SALES_LEVEL,CTY_ADRS_ID
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,16217,EK,FAT,FRESNO,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,25166,EK,EBS,"WEBSTER CITY (MUNI.), IOW",48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,28268,EK,VBW,BRIDGEWATER AIR PARK VIRG,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,16535,EK,GDV,GLENDIVE,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,29325,EK,CRS,"CORSICANA MUNICIPAL, TEXA",48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,26795,EK,AHH,"AMERY (MUNI.), WISCONSIN",48,,N,,,
273,EK,AU,,74,N,1480657,2005-10-18T09:50:16.000,S140475,2006-04-20T11:41:31.000,SYS_TEMP,,,,FEA,20025,EK,XMC,"MALLACOOTA, VIC., AUSTRAL",48,,N,,,
458,EK,PG,,74,N,1480762,,,2006-04-20T12:26:54.000,SYS_TEMP,,,,,25939,EK,VAI,"VANIMO, PAPUA NEW GUINEA",48,,N,,,
367,EK,CF,,70,N,1480663,,,2006-04-20T11:56:21.000,SYS_TEMP,,,,,20507,EK,ODJ,"OUANDA DJALLE, CENTRAL AF",48,,N,,,
330,EK,BR,,68,N,1480660,2005-10-20T09:01:21.000,S140475,2006-04-20T11:47:59.000,SYS_TEMP,,,,AMR,28685,EK,ALQ,"ALEGRETE, BRAZIL",48,,N,,,
427,EK,LS,,70,N,1480704,,,2006-04-20T12:14:45.000,SYS_TEMP,,,,,19670,EK,MSU,"MASERU, LESOTHO",48,,N,,,
412,EK,IR,,69,N,1480689,,,2006-04-20T12:11:40.000,SYS_TEMP,,,,WSE,30670,EK,IHR,Iranshahr,48,,N,,,
369,EK,CI,,70,N,1480663,,,2006-04-20T11:56:21.000,SYS_TEMP,,,,AFR,27640,EK,ZUE,ZUENOULA,48,,N,,,
369,EK,CI,,70,N,1480663,,,2006-04-20T11:56:21.000,SYS_TEMP,,,,AFR,25434,EK,TOZ,"TOUBA, IVORY COAST",48,,N,,,
353,EK,BG,,73,N,1480660,,,2006-04-20T11:47:59.000,SYS_TEMP,,,,,23984,EK,SLS,"SILISTRA, BULGARIA",48,,N,,,
446,EK,MZ,,70,N,1480722,,,2006-04-20T12:18:30.000,SYS_TEMP,,,,,19282,EK,MNC,"NACALA, MOZAMBIQUE",48,,N,,,
276,EK,CN,,76,N,1480663,2005-10-18T09:52:23.000,S140475,2006-04-20T11:56:21.000,SYS_TEMP,,,,FEA,18512,EK,KRL,"KORLA, CHINA",48,,N,,,
