Region,Month,From_date,to_date,Holiday,Country
Africa,Oct-19,04/10/2019,04/10/2019, Day of peace & reconciliation , Mozambique 
Africa,Oct-19,06/10/2019,06/10/2019, Armed forces Day , Egypt 
Africa,Oct-19,09/10/2019,09/10/2019, Independence Day , Uganda 
Africa,Oct-19,14/10/2019,14/10/2019, Mwalimu Nyerere Day , Tanzania 
Africa,Oct-19,15/10/2019,15/10/2019, Evacuation Day , Tunisia 
Africa,Oct-19,18/10/2019,18/10/2019, National Prayer Day , Zambia 
Africa,Oct-19,23/10/2019,23/10/2019, Liberation Day , Libya 
Africa,Oct-19,24/10/2019,24/10/2019, Independence day , Zambia 
Africa,Oct-19,27/10/2019,27/10/2019, Diwali , Mauritius 
Americas,Oct-19,09/10/2019,09/10/2019, Independence Day of Guayaquil , Ecuador 
Americas,Oct-19,12/10/2019,12/10/2019, Lady of Aparecida , Brazil 
Americas,Oct-19,14/10/2019,14/10/2019, Thanksgiving Day , Canada 
Americas,Oct-19,14/10/2019,14/10/2019, Columbus Day ," Chile, Columbia, Argentina, Uruguay, USA "
Americas,Oct-19,14/10/2019,14/10/2019, Race Day , Chile 
Americas,Oct-19,31/10/2019,31/10/2019, Reformation Day , Chile 
Europe & Russia,Oct-19,01/10/2019,01/10/2019, Independence Day , Cyprus 
Europe & Russia,Oct-19,03/10/2019,03/10/2019, Unity Day , Germany 
Europe & Russia,Oct-19,05/10/2019,05/10/2019, Republic day , Portugal 
Europe & Russia,Oct-19,08/10/2019,08/10/2019, Independence Day , Croatia 
Europe & Russia,Oct-19,12/10/2019,12/10/2019, Columbus Day/Hispanic day , Spain 
Europe & Russia,Oct-19,23/10/2019,23/10/2019, Republic day , Hungary 
Europe & Russia,Oct-19,26/10/2019,26/10/2019, National day , Austria 
Europe & Russia,Oct-19,28/10/2019,28/10/2019, Independence day , Czech Republic 
Europe & Russia,Oct-19,28/10/2019,28/10/2019, Ochi Day , Greece & Cyprus 
Europe & Russia,Oct-19,29/10/2019,29/10/2019, Republic day , Turkey 
Europe & Russia,Oct-19,31/10/2019,31/10/2019, Halloween holiday , Ireland 
Far East & Australia,Oct-19,01/10/2019,01/10/2019, National day , Hong Kong 
Far East & Australia,Oct-19,03/10/2019,03/10/2019, National Foundation Day , South Korea 
Far East & Australia,Oct-19,07/10/2019,07/10/2019, Queen's birthday , Queensland 
Far East & Australia,Oct-19,07/10/2019,07/10/2019, Labour Day , Australia( NSW/South Australia) 
Far East & Australia,Oct-19,07/10/2019,07/10/2019, Labour Day/Queen's Bday , Australia (Queensland) 
Far East & Australia,Oct-19,09/10/2019,09/10/2019, Hangeul Day ," Singapore, South Korea "
Far East & Australia,Oct-19,10/10/2019,10/10/2019, ROC National day , Taiwan 
Far East & Australia,Oct-19,14/10/2019,14/10/2019, Health & Sports Day , Japan 
Far East & Australia,Oct-19,15/10/2019,15/10/2019, Commemoration of King's Father , Cambodia 
Far East & Australia,Oct-19,23/10/2019,23/10/2019, Peace Day , Cambodia 
Far East & Australia,Oct-19,23/10/2019,23/10/2019, Chulalongkorn Day , Thailand 
Far East & Australia,Oct-19,28/10/2019,28/10/2019, Labour Day , New Zealand 
